year,borough,hour,injured,killed
2012,Bronx,0,120,4
2012,Bronx,1,102,4
2012,Bronx,2,112,0
2012,Bronx,3,82,0
2012,Bronx,4,106,4
2012,Bronx,5,60,0
2012,Bronx,6,116,0
2012,Bronx,7,166,2
2012,Bronx,8,294,0
2012,Bronx,9,244,0
2012,Bronx,10,212,0
2012,Bronx,11,184,0
2012,Bronx,12,244,2
2012,Bronx,13,334,2
2012,Bronx,14,356,2
2012,Bronx,15,344,0
2012,Bronx,16,472,0
2012,Bronx,17,438,0
2012,Bronx,18,382,2
2012,Bronx,19,346,0
2012,Bronx,20,316,2
2012,Bronx,21,258,2
2012,Bronx,22,246,0
2012,Bronx,23,222,8
2012,Brooklyn,0,373,4
2012,Brooklyn,1,294,2
2012,Brooklyn,2,260,2
2012,Brooklyn,3,178,6
2012,Brooklyn,4,236,4
2012,Brooklyn,5,242,6
2012,Brooklyn,6,324,6
2012,Brooklyn,7,456,0
2012,Brooklyn,8,670,0
2012,Brooklyn,9,712,0
2012,Brooklyn,10,569,2
2012,Brooklyn,11,636,0
2012,Brooklyn,12,778,2
2012,Brooklyn,13,788,0
2012,Brooklyn,14,908,2
2012,Brooklyn,15,959,0
2012,Brooklyn,16,940,2
2012,Brooklyn,17,1065,0
2012,Brooklyn,18,1134,8
2012,Brooklyn,19,850,4
2012,Brooklyn,20,816,6
2012,Brooklyn,21,662,8
2012,Brooklyn,22,600,0
2012,Brooklyn,23,594,2
2012,Manhattan,0,216,0
2012,Manhattan,1,164,2
2012,Manhattan,2,204,0
2012,Manhattan,3,164,2
2012,Manhattan,4,222,0
2012,Manhattan,5,196,0
2012,Manhattan,6,174,0
2012,Manhattan,7,158,0
2012,Manhattan,8,298,2
2012,Manhattan,9,352,2
2012,Manhattan,10,402,0
2012,Manhattan,11,296,2
2012,Manhattan,12,406,2
2012,Manhattan,13,384,6
2012,Manhattan,14,414,2
2012,Manhattan,15,464,2
2012,Manhattan,16,502,0
2012,Manhattan,17,412,2
2012,Manhattan,18,466,0
2012,Manhattan,19,374,4
2012,Manhattan,20,406,4
2012,Manhattan,21,346,4
2012,Manhattan,22,342,4
2012,Manhattan,23,374,2
2012,Queens,0,180,0
2012,Queens,1,158,0
2012,Queens,2,122,2
2012,Queens,3,98,12
2012,Queens,4,168,0
2012,Queens,5,208,0
2012,Queens,6,266,4
2012,Queens,7,310,0
2012,Queens,8,622,4
2012,Queens,9,580,0
2012,Queens,10,486,0
2012,Queens,11,600,2
2012,Queens,12,524,0
2012,Queens,13,462,0
2012,Queens,14,720,2
2012,Queens,15,802,0
2012,Queens,16,706,0
2012,Queens,17,770,6
2012,Queens,18,760,4
2012,Queens,19,640,2
2012,Queens,20,608,4
2012,Queens,21,384,0
2012,Queens,22,512,4
2012,Queens,23,326,10
2012,Staten Island,0,48,2
2012,Staten Island,1,24,0
2012,Staten Island,2,36,2
2012,Staten Island,3,28,0
2012,Staten Island,4,38,0
2012,Staten Island,5,20,2
2012,Staten Island,6,54,2
2012,Staten Island,7,100,0
2012,Staten Island,8,136,0
2012,Staten Island,9,78,0
2012,Staten Island,10,98,0
2012,Staten Island,11,106,2
2012,Staten Island,12,178,0
2012,Staten Island,13,122,0
2012,Staten Island,14,218,0
2012,Staten Island,15,154,0
2012,Staten Island,16,178,4
2012,Staten Island,17,208,0
2012,Staten Island,18,160,2
2012,Staten Island,19,132,4
2012,Staten Island,20,118,0
2012,Staten Island,21,94,0
2012,Staten Island,22,90,2
2012,Staten Island,23,72,0
2012,Unspecified,0,438,2
2012,Unspecified,1,294,6
2012,Unspecified,2,224,0
2012,Unspecified,3,214,2
2012,Unspecified,4,346,2
2012,Unspecified,5,296,4
2012,Unspecified,6,364,6
2012,Unspecified,7,432,0
2012,Unspecified,8,622,4
2012,Unspecified,9,572,0
2012,Unspecified,10,552,2
2012,Unspecified,11,532,2
2012,Unspecified,12,528,6
2012,Unspecified,13,638,2
2012,Unspecified,14,702,2
2012,Unspecified,15,698,0
2012,Unspecified,16,874,0
2012,Unspecified,17,890,2
2012,Unspecified,18,776,2
2012,Unspecified,19,678,0
2012,Unspecified,20,616,2
2012,Unspecified,21,590,2
2012,Unspecified,22,462,6
2012,Unspecified,23,522,0
2013,Bronx,0,302,4
2013,Bronx,1,210,2
2013,Bronx,2,166,4
2013,Bronx,3,206,4
2013,Bronx,4,160,0
2013,Bronx,5,198,4
2013,Bronx,6,212,2
2013,Bronx,7,416,4
2013,Bronx,8,798,2
2013,Bronx,9,528,0
2013,Bronx,10,458,4
2013,Bronx,11,532,4
2013,Bronx,12,526,2
2013,Bronx,13,722,2
2013,Bronx,14,862,2
2013,Bronx,15,726,4
2013,Bronx,16,984,4
2013,Bronx,17,916,0
2013,Bronx,18,908,2
2013,Bronx,19,738,4
2013,Bronx,20,638,4
2013,Bronx,21,518,4
2013,Bronx,22,422,0
2013,Bronx,23,372,2
2013,Brooklyn,0,680,14
2013,Brooklyn,1,634,2
2013,Brooklyn,2,438,12
2013,Brooklyn,3,340,0
